time,quality,temp,pressure,humidity,celsius_degree,fahrenheit_degree
2016-08-28 07:30:40,73,20.9,101105,58.0,21.0,69.8
2016-08-28 07:31:22,73,20.9,101114,58.0,21.0,69.8
2016-08-28 07:34:54,73,21.0,101117,58.0,21.0,69.8
2016-08-28 08:25:12,72,20.6,101125,58.0,20.0,68.0
2016-08-28 09:01:03,72,20.4,101128,59.0,20.0,68.0
2016-08-28 09:01:23,73,20.4,101125,59.0,20.0,68.0
2016-08-28 10:01:08,73,20.1,101136,59.0,20.0,68.0
2016-08-28 11:01:04,74,19.9,101130,59.0,19.0,66.2
2016-08-28 12:01:03,74,19.6,101161,60.0,19.0,66.2
2016-08-28 13:01:02,75,19.4,101166,60.0,19.0,66.2
2016-08-28 14:01:04,75,19.2,101207,60.0,19.0,66.2
2016-08-28 15:01:03,75,19.1,101233,60.0,19.0,66.2
2016-08-28 16:01:03,79,19.2,101289,64.0,19.0,66.2
2016-08-28 17:01:03,74,19.4,101293,60.0,19.0,66.2
2016-08-28 18:01:02,78,19.9,101256,60.0,19.0,68.0
2016-08-28 19:01:03,80,20.7,101252,60.0,20.0,68.0
2016-08-28 20:01:03,79,21.5,101252,58.0,21.0,69.8
2016-08-28 21:01:03,140,22.3,101242,58.0,22.0,71.6
2016-08-28 22:01:02,120,23.1,101193,58.0,22.0,71.6
2016-08-28 23:01:02,87,23.8,101165,56.0,23.0,73.4
2016-08-29 00:01:03,71,24.0,101125,56.0,24.0,75.2
2016-08-29 01:01:03,83,23.4,101132,55.0,24.0,73.4
2016-08-29 03:01:02,94,23.8,101145,56.0,23.0,73.4
2016-08-29 04:01:03,96,23.3,101147,56.0,23.0,73.4
2016-08-29 05:01:02,113,22.9,101214,56.0,23.0,73.4
2016-08-29 06:01:02,84,22.4,101251,57.0,22.0,71.6
2016-08-29 07:01:03,80,21.7,101231,57.0,21.0,69.8
2016-08-29 08:01:03,82,21.1,101271,57.0,21.0,69.8
2016-08-29 09:01:03,81,20.6,101228,59.0,21.0,69.8
2016-08-29 10:01:03,80,20.1,101256,58.0,20.0,68.0
2016-08-29 11:01:03,85,19.8,101256,58.0,20.0,68.0
2016-08-29 12:01:03,82,20.0,101244,58.0,19.0,66.2
2016-08-29 13:01:02,85,19.9,101259,58.0,20.0,68.0
2016-08-29 14:01:03,79,19.5,101290,58.0,20.0,68.0
2016-08-29 15:01:03,82,19.5,101345,58.0,20.0,68.0
2016-08-29 16:01:03,102,19.3,101348,58.0,20.0,68.0
2016-08-29 17:01:02,77,19.1,101341,58.0,20.0,68.0
2016-08-29 18:01:03,79,19.4,101333,64.0,19.0,66.2
2016-08-29 19:01:02,87,20.0,101268,58.0,20.0,68.0
2016-08-29 20:01:02,85,20.7,101220,58.0,20.0,68.0
2016-08-29 21:01:03,81,21.3,101180,57.0,21.0,69.8
2016-08-29 22:01:03,81,21.9,101126,58.0,21.0,69.8
2016-08-29 23:01:03,81,22.5,101054,58.0,22.0,71.6
2016-08-30 00:01:02,82,23.1,101008,58.0,22.0,71.6
2016-08-30 01:01:02,83,23.6,100977,57.0,23.0,73.4
2016-08-30 02:01:03,85,23.8,100985,57.0,23.0,73.4
2016-08-30 03:01:03,95,23.6,100997,57.0,24.0,75.2
2016-08-30 04:01:03,120,23.5,101006,57.0,23.0,73.4
2016-08-30 05:01:03,144,23.1,101031,57.0,23.0,73.4
2016-08-30 06:01:02,109,22.7,101027,57.0,23.0,73.4
2016-08-30 07:01:04,125,22.3,101041,62.0,22.0,71.6
2016-08-30 08:01:03,93,21.8,101040,58.0,22.0,71.6
2016-08-30 09:01:04,94,21.3,101012,58.0,22.0,69.8
2016-08-30 10:01:03,92,21.2,101030,58.0,21.0,69.8
2016-08-30 11:01:03,90,20.8,100999,58.0,21.0,69.8
2016-08-30 12:01:03,96,20.7,100967,63.0,21.0,69.8
2016-08-30 13:01:02,82,20.3,100967,58.0,21.0,69.8
2016-08-30 14:01:02,84,20.2,100992,58.0,21.0,69.8
2016-08-30 15:01:03,87,20.1,101013,58.0,21.0,69.8
2016-08-30 16:01:03,84,20.2,101013,60.0,20.0,68.0
2016-08-30 17:01:03,81,20.1,101025,59.0,21.0,69.8
2016-08-30 18:01:03,80,20.2,101031,61.0,20.0,68.0
2016-08-30 19:01:02,82,20.7,100982,61.0,21.0,69.8
2016-08-30 20:01:02,83,21.4,100945,60.0,21.0,69.8
2016-08-30 21:01:02,90,22.1,100905,60.0,21.0,69.8
2016-08-30 22:01:02,90,22.6,100824,63.0,22.0,71.6
2016-08-30 23:01:03,92,23.2,100766,58.0,22.0,73.4
2016-08-31 00:01:03,90,23.6,100743,57.0,23.0,73.4
2016-08-31 01:01:03,90,24.3,100715,57.0,24.0,75.2
2016-08-31 02:01:03,86,24.4,100658,57.0,24.0,75.2
2016-08-31 03:01:03,88,24.2,100693,57.0,24.0,75.2
2016-08-31 04:01:05,151,24.3,100703,61.0,24.0,75.2
2016-08-31 05:01:03,130,24.0,100744,57.0,24.0,75.2
2016-08-31 06:01:03,83,23.7,100749,60.0,24.0,75.2
2016-08-31 07:01:02,87,23.3,100713,56.0,24.0,75.2
2016-08-31 08:01:03,79,22.9,100724,57.0,23.0,73.4
2016-08-31 09:01:03,85,22.6,100673,62.0,23.0,73.4
2016-08-31 10:01:03,86,22.2,100678,63.0,22.0,71.6
2016-08-31 11:01:03,99,21.7,100672,57.0,22.0,71.6
2016-08-31 12:01:03,93,21.2,100671,57.0,22.0,71.6
2016-08-31 13:01:03,90,20.7,100703,57.0,21.0,69.8
2016-08-31 14:01:03,96,20.6,100756,58.0,21.0,69.8
2016-08-31 15:01:03,95,20.5,100785,58.0,21.0,69.8
2016-08-31 16:01:03,130,20.4,100794,63.0,21.0,69.8
2016-08-31 17:01:03,85,20.1,100857,58.0,21.0,69.8
2016-08-31 18:01:02,83,19.9,100892,60.0,20.0,68.0
2016-08-31 19:01:03,90,20.1,100883,60.0,20.0,68.0
2016-08-31 20:01:03,87,20.6,100844,60.0,20.0,69.8
2016-08-31 21:01:03,85,21.1,100821,59.0,21.0,69.8
2016-08-31 22:01:04,90,21.8,100776,59.0,21.0,69.8
2016-08-31 23:01:02,86,22.3,100750,59.0,21.0,69.8
2016-09-01 00:01:02,89,22.8,100718,60.0,22.0,71.6
2016-09-01 01:01:03,89,23.2,100695,63.0,22.0,71.6
2016-09-01 02:01:03,82,23.2,100683,62.0,23.0,73.4
2016-09-01 03:01:03,83,22.8,100706,61.0,23.0,73.4
2016-09-01 04:01:03,87,22.5,100762,59.0,23.0,73.4
2016-09-01 05:01:02,81,22.1,100794,61.0,22.0,71.6
2016-09-01 06:01:04,100,22.5,100795,61.0,22.0,71.6
<<<<<<< HEAD
2016-09-01 07:01:02,109,22.4,100795,59.0,22.0,71.6
2016-09-01 08:01:03,86,22.1,100799,59.0,22.0,71.6
2016-09-01 09:01:03,90,21.9,100825,59.0,22.0,71.6
2016-09-01 10:01:02,91,21.6,100801,59.0,22.0,71.6
2016-09-01 11:01:02,89,21.3,100787,59.0,21.0,69.8
2016-09-01 12:01:02,90,21.1,100780,59.0,21.0,69.8
2016-09-01 13:01:03,93,20.8,100806,59.0,21.0,69.8
2016-09-01 14:01:03,90,20.6,100852,59.0,21.0,69.8
2016-09-01 15:01:03,99,20.4,100875,58.0,21.0,69.8
2016-09-01 16:01:02,150,20.3,100910,58.0,21.0,69.8
2016-09-01 17:01:03,90,20.1,100943,58.0,21.0,69.8
2016-09-01 18:01:02,89,20.0,100954,59.0,20.0,68.0
2016-09-01 19:01:02,89,20.1,100940,59.0,20.0,68.0
2016-09-01 20:01:02,90,20.1,100940,59.0,20.0,68.0
2016-09-01 21:01:03,90,20.3,100905,60.0,20.0,68.0
2016-09-01 22:01:02,86,20.5,100838,59.0,21.0,69.8
2016-09-01 23:01:03,103,20.8,100795,63.0,21.0,69.8
2016-09-02 00:01:03,89,21.3,100760,62.0,21.0,69.8
2016-09-02 01:01:03,88,21.6,100734,61.0,21.0,69.8
2016-09-02 02:01:02,86,21.6,100725,59.0,21.0,69.8
2016-09-02 03:01:02,90,21.5,100719,59.0,21.0,69.8
2016-09-02 04:01:02,262,21.5,100749,59.0,21.0,69.8
2016-09-02 05:01:03,110,21.3,100727,59.0,21.0,69.8
2016-09-02 06:01:03,147,21.3,100793,58.0,21.0,69.8
2016-09-02 07:01:03,131,21.1,100775,59.0,21.0,69.8
2016-09-02 08:01:03,124,21.1,100730,59.0,21.0,69.8
2016-09-02 09:01:03,129,21.0,100700,58.0,21.0,69.8
2016-09-02 10:01:03,120,20.8,100656,58.0,21.0,69.8
2016-09-02 11:01:03,109,20.6,100658,58.0,21.0,69.8
2016-09-02 12:01:03,93,20.3,100644,62.0,21.0,69.8
2016-09-02 13:01:05,109,20.2,100661,58.0,21.0,69.8
2016-09-02 14:01:03,114,20.1,100705,58.0,21.0,69.8
2016-09-02 15:01:02,104,20.0,100740,58.0,21.0,69.8
2016-09-02 16:01:02,80,19.6,100742,64.0,20.0,68.0
2016-09-02 17:01:02,79,19.5,100742,64.0,20.0,68.0
2016-09-02 18:01:03,79,19.7,100740,60.0,20.0,68.0
2016-09-02 19:01:02,78,19.9,100696,59.0,20.0,68.0
2016-09-02 20:01:03,87,20.9,100651,59.0,20.0,68.0
2016-09-02 21:01:04,83,21.7,100625,58.0,21.0,69.8
2016-09-02 22:01:03,86,22.6,100574,58.0,21.0,69.8
2016-09-02 23:01:03,80,23.3,100539,58.0,22.0,71.6
2016-09-03 00:01:03,72,22.6,100484,56.0,23.0,73.4
2016-09-03 01:01:03,75,22.6,100459,58.0,22.0,71.6
2016-09-03 02:01:03,73,22.1,100452,58.0,22.0,71.6
2016-09-03 03:01:04,75,21.7,100437,58.0,22.0,71.6
2016-09-03 04:01:02,76,21.6,100473,57.0,22.0,71.6
2016-09-03 05:01:05,81,21.9,100490,57.0,22.0,71.6
2016-09-03 06:01:02,80,21.8,100487,57.0,22.0,71.6
2016-09-03 07:01:03,80,21.3,100489,57.0,21.0,69.8
2016-09-03 08:01:02,78,20.8,100480,57.0,21.0,69.8
2016-09-03 09:01:02,78,20.6,100451,57.0,21.0,69.8
2016-09-03 10:01:02,74,20.0,100415,57.0,21.0,68.0
2016-09-03 11:01:03,78,19.7,100417,58.0,20.0,68.0
2016-09-03 12:01:03,80,19.5,100405,58.0,20.0,68.0
2016-09-03 13:01:02,79,19.1,100384,58.0,20.0,68.0
