time,quality,temp,pressure,humidity,celsius_degree,fahrenheit_degree
2016-08-28 07:30:40,73,20.9,101105,58.0,21.0,69.8
2016-08-28 07:31:22,73,20.9,101114,58.0,21.0,69.8
2016-08-28 07:34:54,73,21.0,101117,58.0,21.0,69.8
2016-08-28 08:25:12,72,20.6,101125,58.0,20.0,68.0
2016-08-28 09:01:03,72,20.4,101128,59.0,20.0,68.0
2016-08-28 09:01:23,73,20.4,101125,59.0,20.0,68.0
2016-08-28 10:01:08,73,20.1,101136,59.0,20.0,68.0
2016-08-28 11:01:04,74,19.9,101130,59.0,19.0,66.2
2016-08-28 12:01:03,74,19.6,101161,60.0,19.0,66.2
2016-08-28 13:01:02,75,19.4,101166,60.0,19.0,66.2
2016-08-28 14:01:04,75,19.2,101207,60.0,19.0,66.2
2016-08-28 15:01:03,75,19.1,101233,60.0,19.0,66.2
2016-08-28 16:01:03,79,19.2,101289,64.0,19.0,66.2
2016-08-28 17:01:03,74,19.4,101293,60.0,19.0,66.2
2016-08-28 18:01:02,78,19.9,101256,60.0,19.0,68.0
2016-08-28 19:01:03,80,20.7,101252,60.0,20.0,68.0
2016-08-28 20:01:03,79,21.5,101252,58.0,21.0,69.8
2016-08-28 21:01:03,140,22.3,101242,58.0,22.0,71.6
2016-08-28 22:01:02,120,23.1,101193,58.0,22.0,71.6
2016-08-28 23:01:02,87,23.8,101165,56.0,23.0,73.4
2016-08-29 00:01:03,71,24.0,101125,56.0,24.0,75.2
2016-08-29 01:01:03,83,23.4,101132,55.0,24.0,73.4
2016-08-29 03:01:02,94,23.8,101145,56.0,23.0,73.4
2016-08-29 04:01:03,96,23.3,101147,56.0,23.0,73.4
2016-08-29 05:01:02,113,22.9,101214,56.0,23.0,73.4
2016-08-29 06:01:02,84,22.4,101251,57.0,22.0,71.6
2016-08-29 07:01:03,80,21.7,101231,57.0,21.0,69.8
2016-08-29 08:01:03,82,21.1,101271,57.0,21.0,69.8
2016-08-29 09:01:03,81,20.6,101228,59.0,21.0,69.8
2016-08-29 10:01:03,80,20.1,101256,58.0,20.0,68.0
2016-08-29 11:01:03,85,19.8,101256,58.0,20.0,68.0
2016-08-29 12:01:03,82,20.0,101244,58.0,19.0,66.2
2016-08-29 13:01:02,85,19.9,101259,58.0,20.0,68.0
2016-08-29 14:01:03,79,19.5,101290,58.0,20.0,68.0
2016-08-29 15:01:03,82,19.5,101345,58.0,20.0,68.0
2016-08-29 16:01:03,102,19.3,101348,58.0,20.0,68.0
2016-08-29 17:01:02,77,19.1,101341,58.0,20.0,68.0
2016-08-29 18:01:03,79,19.4,101333,64.0,19.0,66.2
2016-08-29 19:01:02,87,20.0,101268,58.0,20.0,68.0
2016-08-29 20:01:02,85,20.7,101220,58.0,20.0,68.0
2016-08-29 21:01:03,81,21.3,101180,57.0,21.0,69.8
2016-08-29 22:01:03,81,21.9,101126,58.0,21.0,69.8
2016-08-29 23:01:03,81,22.5,101054,58.0,22.0,71.6
2016-08-30 00:01:02,82,23.1,101008,58.0,22.0,71.6
2016-08-30 01:01:02,83,23.6,100977,57.0,23.0,73.4
2016-08-30 02:01:03,85,23.8,100985,57.0,23.0,73.4
2016-08-30 03:01:03,95,23.6,100997,57.0,24.0,75.2
2016-08-30 04:01:03,120,23.5,101006,57.0,23.0,73.4
2016-08-30 05:01:03,144,23.1,101031,57.0,23.0,73.4
2016-08-30 06:01:02,109,22.7,101027,57.0,23.0,73.4
2016-08-30 07:01:04,125,22.3,101041,62.0,22.0,71.6
2016-08-30 08:01:03,93,21.8,101040,58.0,22.0,71.6
2016-08-30 09:01:04,94,21.3,101012,58.0,22.0,69.8
2016-08-30 10:01:03,92,21.2,101030,58.0,21.0,69.8
2016-08-30 11:01:03,90,20.8,100999,58.0,21.0,69.8
2016-08-30 12:01:03,96,20.7,100967,63.0,21.0,69.8
2016-08-30 13:01:02,82,20.3,100967,58.0,21.0,69.8
2016-08-30 14:01:02,84,20.2,100992,58.0,21.0,69.8
2016-08-30 15:01:03,87,20.1,101013,58.0,21.0,69.8
2016-08-30 16:01:03,84,20.2,101013,60.0,20.0,68.0
2016-08-30 17:01:03,81,20.1,101025,59.0,21.0,69.8
2016-08-30 18:01:03,80,20.2,101031,61.0,20.0,68.0
2016-08-30 19:01:02,82,20.7,100982,61.0,21.0,69.8
2016-08-30 20:01:02,83,21.4,100945,60.0,21.0,69.8
